block_id,start_ts,end_ts,best_T,best_cycles,cyc_T1,cyc_T2,cyc_T4,cyc_T8,cyc_T16,cyc_T32,cyc_T64,cyc_T128
0,50,178,128,84690,657369,380077,241276,170129,133787,116812,109759,84690
1,178,306,64,87581,602926,336416,202527,136236,104104,90139,87581,103139
2,306,434,32,113435,650754,372122,233175,165067,130931,113435,113707,121302
3,434,562,128,100496,628763,354537,216995,147499,115538,103768,100638,100496
4,562,690,64,92116,631039,355707,217228,147093,112806,96203,92116,100121
5,690,818,32,126250,659891,380792,239183,169860,136877,126250,135365,132954
6,818,946,64,89302,621579,348169,210881,141623,108212,92849,89302,106548
7,946,1074,64,115437,667522,386689,243675,172178,137984,121568,115437,148331
8,1074,1202,64,94509,622897,349800,212376,143696,109170,95961,94509,100637
9,1202,1330,64,98713,646970,368316,227953,156979,123207,103933,98713,102137
10,1330,1458,128,101585,642378,364609,225222,155037,120519,104709,102333,101585
11,1458,1586,64,90398,637350,360785,221232,150536,114138,96428,90398,95438
12,1586,1714,64,103016,650720,371507,231122,158441,122890,107865,103016,115075
13,1714,1842,64,102094,650939,371630,230847,159141,123150,106342,102094,114626
14,1842,1970,64,101059,648714,370238,228648,156702,122144,105805,101059,109904
