spike_count,rollback_load_sum_delta_t
677,63312
428,23791
204,23998
128,29159
40,39171
13,13963
2,16972
0,10421
0,24525
0,12688
0,15540
0,16257
0,23418
0,12562
3,34432
3,21756
8,12560
33,15220
76,17846
179,25484
385,18029
614,47390
530,26240
299,22492
166,6823
86,11165
54,19316
32,31389
15,19177
9,13209
6,21321
5,30024
6,18772
19,21411
44,21321
72,21852
115,18011
185,15916
265,27481
375,27340
560,12535
483,17721
330,32586
211,36374
102,19206
61,20603
25,14113
21,25735
15,22497
13,13111
11,26441
20,30260
32,41101
69,21544
114,16573
168,7193
247,17810
396,5222
421,24650
437,17775
347,23836
266,16098
152,24199
89,20464
64,16641
54,23771
34,17828
29,11527
41,22394
30,16375
40,18049
45,12125
65,12004
108,19534
142,5729
142,18425
229,32539
353,38610
282,28013
277,11923
226,9752
174,24340
148,17504
111,15909
69,10305
90,18044
75,35776
69,22425
75,21903
95,22349
108,9879
98,15473
111,40049
131,23955
133,16397
109,2988
134,31998
153,9190
161,23315
193,21874
246,23349
223,13951
236,23592
233,30841
182,19879
225,39703
186,9805
172,29622
165,19716
157,23567
168,16189
121,28916
127,30175
154,13566
148,24535
158,37047
177,18934
190,24329
248,22495
44,5584
