# core_ind  cyc  redo_cyc(rollback_state)  restore_cyc  recompute_cyc
0 1976797 349713 8710 341003
1 1976797 359610 9970 349640
2 1976797 361257 9326 351931
3 1976797 369635 9516 360119
4 1976797 360035 9042 350993
5 1976797 347303 8186 339117
6 1976797 343860 8590 335270
7 1976797 358349 8920 349429
8 1976797 339310 8516 330794
9 1976797 369855 9328 360527
10 1976797 359690 8772 350918
11 1976797 373712 9414 364298
12 1976797 345313 9158 336155
13 1976797 342616 8814 333802
14 1976797 368350 9310 359040
15 1976797 353460 8982 344478
16 1976797 367395 9462 357933
17 1976797 359630 8324 351306
18 1976797 344637 8380 336257
19 1976797 356226 9166 347060
20 1976797 372247 10100 362147
21 1976797 358020 8644 349376
22 1976797 355587 8732 346855
23 1976797 364801 9620 355181
24 1976797 352604 9442 343162
25 1976797 355498 8724 346774
26 1976797 352352 8890 343462
27 1976797 373041 10992 362049
28 1976797 351520 8604 342916
29 1976797 390812 9688 381124
30 1976797 341310 8714 332596
31 1976797 357888 9386 348502
32 1976797 356522 9198 347324
33 1976797 341004 8698 332306
34 1976797 363204 9048 354156
35 1976797 355568 9462 346106
36 1976797 348181 8830 339351
37 1976797 350669 8944 341725
38 1976797 368624 9832 358792
39 1976797 370884 10372 360512
40 1976797 345011 9082 335929
41 1976797 372197 9266 362931
42 1976797 371294 9640 361654
43 1976797 376302 9790 366512
44 1976797 380495 8978 371517
45 1976797 376053 9692 366361
46 1976797 347777 8444 339333
47 1976797 360636 9054 351582
48 1976797 354117 9384 344733
49 1976797 355080 8576 346504
50 1976797 354749 8842 345907
51 1976797 355308 8658 346650
52 1976797 343813 8564 335249
53 1976797 350770 9170 341600
54 1976797 362321 10012 352309
55 1976797 362666 9590 353076
56 1976797 339970 8944 331026
57 1976797 353443 8496 344947
58 1976797 361635 8300 353335
59 1976797 351106 8812 342294
60 1976797 350645 8952 341693
61 1976797 384563 10008 374555
62 1976797 368350 9216 359134
63 1976797 367424 9700 357724
# TOTAL cyc=126515008 redo=22956017  redo_frac=0.181449  max_core_cyc=1976797
# DECOMP restore=584976 recompute=22371041  sum=22956017  match=True  restore_frac_of_redo=0.025482 recompute_frac_of_redo=0.974518  recompute_frac_of_total=0.176825
