# core_ind neu_comp neu_comp_end sync_wait commit sync_done rollback
0 193581 59234 60991 81 1342967 187840
1 194132 47516 81857 81 1327421 193687
2 194430 46770 75576 81 1338512 189325
3 194433 54165 66534 81 1334409 195072
4 194659 54758 65990 81 1338620 190586
5 192629 44657 73795 81 1346565 186967
6 193018 64943 66109 81 1341850 178693
7 194684 53917 61936 81 1342314 191762
8 198449 78097 45428 162 1349549 173009
9 194345 67799 51596 162 1333969 196823
10 194874 70299 48539 162 1341888 188932
11 193287 66038 49544 162 1334978 200685
12 194271 67235 50136 162 1341039 191851
13 194632 75792 53982 162 1340847 179279
14 191519 80334 45806 162 1335761 191112
15 195952 72048 43054 162 1339751 193727
16 195795 92405 38050 162 1328340 189942
17 194888 79341 35607 162 1346499 188197
18 194648 83927 40119 162 1346111 179727
19 194374 82005 39617 162 1344185 184351
20 193081 63191 42462 162 1330928 214870
21 195483 84170 40670 162 1346625 177584
22 192238 82440 36139 162 1339292 194423
23 194956 72846 37645 162 1334138 204947
24 195345 81119 32207 162 1335707 200154
25 195428 87058 32999 162 1341930 187117
26 196866 83124 37964 162 1339191 187387
27 193923 82096 34922 162 1316357 217234
28 194455 78659 36192 162 1348102 187124
29 191158 95561 35230 162 1333431 189152
30 195391 76594 31588 162 1343619 197340
31 195091 74193 32835 162 1330976 211437
32 195806 93199 21337 243 1337935 196174
33 197689 92581 17419 324 1344159 192522
34 195591 95215 14571 324 1340053 198940
35 195001 104466 8935 324 1338619 197349
36 194911 120297 81 405 1342908 186092
37 195528 104113 12206 324 1338998 193525
38 194179 108917 15251 324 1332548 193475
39 196956 109386 19889 243 1323608 194612
40 197958 80489 35630 162 1335140 195315
41 194592 82229 36979 162 1339499 191233
42 194632 83361 46135 162 1335792 184612
43 194059 81906 33550 162 1336452 198565
44 195476 85678 32596 162 1343492 187290
45 194124 73161 37322 162 1336575 203350
46 193459 94589 32459 162 1346036 177989
47 197245 87092 33016 162 1340334 186845
48 194938 68975 44474 162 1334938 201207
49 197493 76811 41589 162 1343151 185488
50 195478 64029 52930 162 1337139 194956
51 193783 62951 43168 162 1344858 199772
52 193851 72771 44800 162 1342210 190900
53 195028 76025 47723 162 1338912 186844
54 195941 85633 41870 162 1328381 192707
55 194891 79839 50240 162 1332372 187190
56 194104 55791 60983 81 1339061 194674
57 194583 42988 60303 81 1351887 194852
58 193953 58763 66631 81 1350117 175149
59 194354 62290 60779 81 1341197 185993
60 194804 58619 59029 81 1339299 192862
61 194745 54138 64367 81 1331357 200006
62 195630 41578 69945 81 1337992 199468
63 194680 49583 64863 81 1332473 203014
# TOTAL neu_comp=12467477 neu_comp_end=4809794 sync_wait=2796189 commit=10287 sync_done=85673363 rollback=12303306
# FRAC  neu_comp=0.105603 neu_comp_end=0.040740 sync_wait=0.023684 commit=0.000087 sync_done=0.725674 rollback=0.104212
# CHECK sum_states=118060416 cyc=118060416 match=True  rollback_state=12303306 redo_cyc=12303306 match_redo=True
